id,url,name,description,type,address,city,zipCode,latitude,longitude,price,bedrooms,bathrooms,area,amenities,telephone,image,pets
jt43vt4,https://www.apartments.com/222-09-135th-ave-queens-ny-unit-2nd/jt43vt4/,"222-09 135th Ave Queens, NY 11413","Property Id: 247275

Beautiful 3 bredroom 2nd floor apartment with backyard access. Utility separate from : gas all other utilities are included; This muiltifamily home that is 4 minutes away from the LIRR two blocks away from MTA buses, walking distance to supermarkets, school's and library as well as local banks. This home is situated in a well access quiet neighborhood. Any additional questions please feel free to contact me.",ApartmentComplex,222-09 135th Ave,Queens,11413,40.67684,-73.7475,"$2,850-$2,850",3 bd,1 ba,,,+1-845-260-0733,['https://images1.apartments.com/i2/5ibPNI7Fi35nxBckhRkyTKnLQwEVfWCqw-lEU_uenGA/110/222-09-135th-ave-unit-2nd-queens-ny-primary-photo.jpg'],True
pvkjrhs,https://www.apartments.com/254-01-pembroke-ave-queens-ny/pvkjrhs/,"254-01 Pembroke Ave Queens, NY 11362","Renovated, 3BR, 1BA, full second floor, large living/dinning room, open kitchen with dishwasher, great counter space. Pet friendly. Showing by appointment only.",ApartmentComplex,254-01 Pembroke Ave,Queens,11362,40.77142,-73.734,"$2,850-$2,850",3 bd,1 ba,,,+1-,['https://images1.apartments.com/m2/omMr7Zjg151BiAGUkWrAElosNs1UbICFvVl6El3f7as/H520W520/map.jpg'],False
y7pw95r,https://www.apartments.com/21726-138th-rd-springfield-gardens-ny/y7pw95r/,"21726 138th Rd Springfield Gardens, NY 11413","There are 2 units out here for renting: 2BR 1Bath (2500$) and 3BR 2Bath (4500$)
A great 2BR, 1Bath basement apartment, Super clean, fully furnished, payment is for all the utilities

A luxurious 3BR, 2Bath, super spacious and clean, fully furnished, payment is for all the utilities in a beautiful neighborhood. We are open to renting it room by room.

3 month short-rental stay, with option of monthly renewal in both units.",SingleFamilyResidence,21726 138th Rd,Springfield Gardens,11413,40.67375,-73.75519,"$2,500-$2,500",2 bd,1 ba,180 sq ft,,+1-516-518-5845,['https://images1.apartments.com/i2/nnVtX9L04Z7QzWOTvoQ3IxxrvKR7An1qoBolHRndU3k/110/21726-138th-rd-springfield-gardens-ny-primary-photo.jpg'],False
jwdklj4,https://www.apartments.com/106-lexington-ave-franklin-square-ny-unit-floor-2/jwdklj4/,"106 Lexington Ave Franklin Square, NY 11010","2 bedroom, 1 bathroom unit located in a quiet neighborhood in Franklin Square.  5 minutes from LIRR stops and walking distance to the NICE stops.  Unit has a large, fully finished attic that can be used for a variety of purposes.",ApartmentComplex,106 Lexington Ave,Franklin Square,11010,40.71074,-73.67846,"$2,300-$2,300",2 bd,1 ba,700 sq ft,,+1-201-580-2166,['https://images1.apartments.com/i2/xWAQN7QRhoEYhmXLGMgD_tLZupNE2-H-9qAy8FBA02A/110/106-lexington-ave-unit-floor-2-franklin-square-ny-primary-photo.jpg'],True
ehcm3eq,https://www.apartments.com/25412-craft-ave-rosedale-ny/ehcm3eq/,"25412 Craft Ave Rosedale, NY 11422","Nestled in acquiesce of Rosedale - tree lined community and fully renovated.  All new appliances and ample street parking available.  All utilities included except: cable, internet, electric and cooking gas.",ApartmentComplex,25412 Craft Ave,Rosedale,11422,40.65756,-73.73308,"$2,800-$2,800",3 bd,1.5 ba,"1,776 sq ft",,+1-,['https://images1.apartments.com/i2/5S1cMHp7rPkmKqCsO5wXQlv_hWYhQRKuoZo64MmSX-o/110/25412-craft-ave-unit-2-rosedale-ny-primary-photo.jpg'],False
n7ktnhn,https://www.apartments.com/8904-188th-st-hollis-ny/n7ktnhn/,"8904 188th St Hollis, NY 11423",,SingleFamilyResidence,8904 188th St,Hollis,11423,40.71369,-73.77282,"$2,800-$2,800",3 bd,1 ba,"1,000 sq ft",,+1-888-296-3162,['https://images1.apartments.com/i2/_-2p045-efotJ26nc9Ft9kfyWmIPsQlwHzYO73KWJQs/110/8904-188th-st-hollis-ny-primary-photo.jpg'],False
becpve9,https://www.apartments.com/21416-40th-ave-bayside-ny-unit-2/becpve9/,"21416 40th Ave Bayside, NY 11361","Welcome to this Sunny and bright 2nd floor walk up with balcony. Featuring 2 bedrooms and 1 bathroom, Living area, Kitchen. Hard wood floors thru out. CLose to all transportation, Q13, 31, 28 and LIRR and major highways.",ApartmentComplex,21416 40th Ave,Bayside,11361,40.76431,-73.76986,"$2,700-$2,700",2 bd,1 ba,"1,000 sq ft",,+1-516-530-8137,['https://images1.apartments.com/i2/MTOqkm-RSII8-jvhz3PuyAmwjhnR1nyLAPkYSU7DQXw/110/21416-40th-ave-unit-2-bayside-ny-primary-photo.jpg'],False
cpz8pmf,https://www.apartments.com/24-reid-ave-rockville-centre-ny-unit-1/cpz8pmf/,"24 Reid Ave Rockville Centre, NY 11570","Two Family House – Bright & Cheerful 2nd Floor Apartment for Rent  
-	Private entrance
-	Quiet residential street
-	Two Bedrooms with hardwood floors, closets, and many windows
-	Large Living Room with hardwood floors throughout
-	Full Bath
-	Full Kitchen 
-	Single garage for parking or storage
-	Private parking in rear
-	Large basement for storage and washer/dryer hook-up
-	10 minute walk to shops, restaurants, train, and bars
-	ABSOLUTELY NO PETS
-	References, Two months security & Credit Check
-	When responding please include something about yourself (ie rental history, occupation, etc.)",ApartmentComplex,24 Reid Ave,Rockville Centre,11570,40.65015,-73.64571,"$2,900-$2,900",2 bd,1 ba,900 sq ft,,+1-,['https://images1.apartments.com/i2/KKV-Bf0o4pE6h0kY3KvQ0rDsjRb1aOIrgnbfsjUje5U/110/24-reid-ave-unit-1-rockville-centre-ny-two-family-home.jpg'],False
p7zp8ms,https://www.apartments.com/118-jericho-turnpike-mineola-ny/p7zp8ms/,"118 Jericho Turnpike Mineola, NY 11501","Spacious renovated 2 bedroom,1 bathroom apartment boasting with natural light. Separate dining area,closets throughout. Brand new appliances

Based on information submitted to the MLS GRID as of [see last changed date above]. All data is obtained from various sources and may not have been verified by broker or MLS GRID. Supplied Open House Information is subject to change without notice. All information should be independently reviewed and verified for accuracy. Properties may or may not be listed by the office/agent presenting the information. Some IDX listings have been excluded from this website. Prices displayed on all Sold listings are the Last Known Listing Price and may not be the actual selling price.",SingleFamilyResidence,118 Jericho Turnpike,Mineola,11501,40.74981,-73.64002,"$2,900-$2,900",2 bd,1 ba,800 sq ft,,+1-646-784-3619,['https://images1.apartments.com/i2/fIbkmbipuFbI7gUwymuCtF1nXRx9m93HfOR2SIDNCOo/110/118-jericho-turnpike-mineola-ny-primary-photo.jpg'],False
v5yl6pf,https://www.apartments.com/94-04-207th-st-queens-ny/v5yl6pf/,"94-04 207th St Queens, NY 11428","Welcome to your newly renovated 2-bedroom,1-bathroom home in Queens! This property features a recently updated kitchen and a newly renovated bathroom,providing a fresh and contemporary feel. Conveniently located near public transportation and surrounded by neighborhood amenities,this is the perfect place to call home. Don't miss out on this opportunity,schedule a showing today! All utilities are included.

Based on information submitted to the MLS GRID as of [see last changed date above]. All data is obtained from various sources and may not have been verified by broker or MLS GRID. Supplied Open House Information is subject to change without notice. All information should be independently reviewed and verified for accuracy. Properties may or may not be listed by the office/agent presenting the information. Some IDX listings have been excluded from this website. Prices displayed on all Sold listings are the Last Known Listing Price and may not be the actual selling price.",SingleFamilyResidence,94-04 207th St,Queens,11428,40.71479,-73.75392,"$2,650-$2,650",2 bd,1 ba,,,+1-718-360-7447,['https://images1.apartments.com/i2/TnDAv8dTRCbpbtoWCZ3xfZiiCDNLJJYIT-uBEEe4rPI/110/94-04-207th-st-queens-ny-primary-photo.jpg'],False
082nd50,https://www.apartments.com/19060-111th-ave-queens-ny/082nd50/,"19060 111th Ave Queens, NY 11412","LARGE MODERN walk in spacious 2BR apartment located in the heart of Queens for rent. LARGE BAY WINDOWS lends to lots of natural light,Great location near public transportation,shopping centers,restaurants,fitness centers,schools and more. CENTRAL HUB LOCATION with access to all forms of business and travel.   NO ACCESS TO DRIVEWAY. Plenty of dual side street parking always available - wide street.

Based on information submitted to the MLS GRID as of [see last changed date above]. All data is obtained from various sources and may not have been verified by broker or MLS GRID. Supplied Open House Information is subject to change without notice. All information should be independently reviewed and verified for accuracy. Properties may or may not be listed by the office/agent presenting the information. Some IDX listings have been excluded from this website. Prices displayed on all Sold listings are the Last Known Listing Price and may not be the actual selling price.",ApartmentComplex,19060 111th Ave,Queens,11412,40.70209,-73.76321,"$2,400-$2,400",2 bd,1 ba,,,+1-347-974-8494,['https://images1.apartments.com/i2/B4vn17GwL8jNnI_MGIBs1DNUYfgb2-MHrxWrgh3UDNc/110/19060-111th-ave-queens-ny-primary-photo.jpg'],False
rwrlkq3,https://www.apartments.com/217-35-217-47-47th-rd-queens-ny-unit-2nd-fl/rwrlkq3/,"217-35-217-47 47th Rd Queens, NY 11361","Nice area,walk to Oakland Lake Park,walk to PS 203,QCC,and Cardozo HS,Excellent #26 SD. Apartment with a lots of windows,recently renovation. easy for street parking.

Based on information submitted to the MLS GRID as of [see last changed date above]. All data is obtained from various sources and may not have been verified by broker or MLS GRID. Supplied Open House Information is subject to change without notice. All information should be independently reviewed and verified for accuracy. Properties may or may not be listed by the office/agent presenting the information. Some IDX listings have been excluded from this website. Prices displayed on all Sold listings are the Last Known Listing Price and may not be the actual selling price.",ApartmentComplex,217-35-217-47 47th Rd,Queens,11361,40.7573,-73.7623,"$2,700-$2,700",3 bd,1 ba,,,+1-646-321-8619,['https://images1.apartments.com/i2/Qa-8c-s4MLaI_J8Beg4qDyeHykI4M4HNtujx1IGtPOU/110/217-35-217-47-47th-rd-unit-2nd-fl-queens-ny-primary-photo.jpg'],False
fp5xz7t,https://www.apartments.com/249-16-elkmont-ave-queens-ny-unit-2/fp5xz7t/,"249-16 Elkmont Ave Queens, NY 11426","Welcome home...Sunny & bright 2 bedroom with Eastern & Southern exposure,skylight & bonus office with enclosed greenroom attached. Conveniently located near shops,schools,local transportation & express bus to NYC.

Based on information submitted to the MLS GRID as of [see last changed date above]. All data is obtained from various sources and may not have been verified by broker or MLS GRID. Supplied Open House Information is subject to change without notice. All information should be independently reviewed and verified for accuracy. Properties may or may not be listed by the office/agent presenting the information. Some IDX listings have been excluded from this website. Prices displayed on all Sold listings are the Last Known Listing Price and may not be the actual selling price.",ApartmentComplex,249-16 Elkmont Ave,Queens,11426,40.74524,-73.72155,"$2,700-$2,700",2 bd,1 ba,,,+1-516-667-5911,['https://images1.apartments.com/i2/SQ75sZ5x48kS93X-1wDt-5RcByXzwr47wYW2dhJqpbE/110/249-16-elkmont-ave-unit-2-queens-ny-primary-photo.jpg'],False
lg4fxqe,https://www.apartments.com/75-66-197th-st-queens-ny/lg4fxqe/,"75-66 197th St Queens, NY 11366","Totally renovated and super bright second floor 2 bedroom,1 bath apartment. Steps away from Cunningham Park and public transportation. All new appliances,LED recessed lighting,gas heat and gas cooking. Fully paved backyard and extra long private driveway for parking.

Based on information submitted to the MLS GRID as of [see last changed date above]. All data is obtained from various sources and may not have been verified by broker or MLS GRID. Supplied Open House Information is subject to change without notice. All information should be independently reviewed and verified for accuracy. Properties may or may not be listed by the office/agent presenting the information. Some IDX listings have been excluded from this website. Prices displayed on all Sold listings are the Last Known Listing Price and may not be the actual selling price.",SingleFamilyResidence,75-66 197th St,Queens,11366,40.7316,-73.77355,"$2,900-$2,900",2 bd,1 ba,"1,220 sq ft",,+1-516-375-5679,['https://images1.apartments.com/i2/kwsA8Uvjl0KcwfGH_rmRYZ6ZoDdZxlzPrfmLfY4w1go/110/75-66-197th-st-queens-ny-primary-photo.jpg'],False
7rslhty,https://www.apartments.com/145-tulip-ave-floral-park-ny/7rslhty/,"145 Tulip Ave Floral Park, NY 11001",Based on information submitted to the MLS GRID as of [see last changed date above]. All data is obtained from various sources and may not have been verified by broker or MLS GRID. Supplied Open House Information is subject to change without notice. All information should be independently reviewed and verified for accuracy. Properties may or may not be listed by the office/agent presenting the information. Some IDX listings have been excluded from this website. Prices displayed on all Sold listings are the Last Known Listing Price and may not be the actual selling price.,ApartmentComplex,145 Tulip Ave,Floral Park,11001,40.72458,-73.70352,"$2,800-$2,800",2 bd,1 ba,,,+1-631-965-8878,['https://images1.apartments.com/i2/x5SY1_f8BncYuwDpFUwPhRfc0NXU2vWEkFGUEwwcImk/110/145-tulip-ave-floral-park-ny-primary-photo.jpg'],False
f2y3y2s,https://www.apartments.com/89-26-190th-st-queens-ny/f2y3y2s/,"89-26 190th St Queens, NY 11423","Tenant pays commision.Bright 3 bedroom appt,wood floors,freshly painted. Utilities not included in the rent. Good credit and income   required.

Based on information submitted to the MLS GRID as of [see last changed date above]. All data is obtained from various sources and may not have been verified by broker or MLS GRID. Supplied Open House Information is subject to change without notice. All information should be independently reviewed and verified for accuracy. Properties may or may not be listed by the office/agent presenting the information. Some IDX listings have been excluded from this website. Prices displayed on all Sold listings are the Last Known Listing Price and may not be the actual selling price.",ApartmentComplex,89-26 190th St,Queens,11423,40.7137,-73.77091,"$3,000-$3,000",3 bd,1 ba,,,+1-718-225-0800,['https://images1.apartments.com/i2/R4UPPSKj_GrA3EtyKz0Tomim3iR2F4-cEeeUbAcqOMU/110/89-26-190th-st-queens-ny-primary-photo.jpg'],False
s0mdrb6,https://www.apartments.com/90-17-190th-st-queens-ny/s0mdrb6/,"90-17 190th St Queens, NY 11423","HOLLIS IST FLOOR 2 BR APT WITH LARGE ROOMS GRANITE COUNTERTOP HARD WOOD FLOORS FRESHLY PAINTED AMPLE STREET PARKING ALL UTILITIES INCLUDED

Based on information submitted to the MLS GRID as of [see last changed date above]. All data is obtained from various sources and may not have been verified by broker or MLS GRID. Supplied Open House Information is subject to change without notice. All information should be independently reviewed and verified for accuracy. Properties may or may not be listed by the office/agent presenting the information. Some IDX listings have been excluded from this website. Prices displayed on all Sold listings are the Last Known Listing Price and may not be the actual selling price.",SingleFamilyResidence,90-17 190th St,Queens,11423,40.71297,-73.7698,"$2,600-$2,600",2 bd,1 ba,900 sq ft,,+1-516-852-5539,['https://images1.apartments.com/i2/AI8FtIYuQ9H-VQ86pIqeM0BWQr88Pe6AfWPKA738sto/110/90-17-190th-st-queens-ny-primary-photo.jpg'],False
zz334vy,https://www.apartments.com/50-sagamore-hill-dr-port-washington-ny/zz334vy/,"50 Sagamore Hill Dr Port Washington, NY 11050","First Floor Duplex Award Winning Port Washington Public Schools Meticulous Clean Neat Newly Renovated Freshly Painted Finished Floors Two Bedroom 1 Full Bathroom Living Room Full Kitchen New Stainless Steel Appliances Dishwasher and Gas Cooking Driveway For One Vehicle Laundry Room With Washer And Dryer Mechanicals And Storage

Based on information submitted to the MLS GRID as of [see last changed date above]. All data is obtained from various sources and may not have been verified by broker or MLS GRID. Supplied Open House Information is subject to change without notice. All information should be independently reviewed and verified for accuracy. Properties may or may not be listed by the office/agent presenting the information. Some IDX listings have been excluded from this website. Prices displayed on all Sold listings are the Last Known Listing Price and may not be the actual selling price.",SingleFamilyResidence,50 Sagamore Hill Dr,Port Washington,11050,40.83839,-73.70911,"$3,000-$3,000",2 bd,1 ba,,,+1-516-606-2060,['https://images1.apartments.com/i2/6Fc48HOEf9GMVSiJXKdgefoisnnsElR5p4i-y3GR54o/110/50-sagamore-hill-dr-port-washington-ny-primary-photo.jpg'],False
410mj5l,https://www.apartments.com/86-72-musket-st-queens-ny/410mj5l/,"86-72 Musket St Queens, NY 11427","Conveniently located in the heart of Queens Village and SD #26,this newly renovated 2nd Floor rental apartment offers 3 spacious bedrooms with 1 bathroom. The Livingroom is roomy and brings in lots of light. The eat in kitchen offers lots of cabinets and has new appliances. The apartment is situated close to schools,shopping,public transportation,major highways,close to places of worship and parks. This apartment is 1 block from Hillside ave,which has the Q43,N22 and Express bus X68 to NYC. Tenant pays Utlities.

Based on information submitted to the MLS GRID as of [see last changed date above]. All data is obtained from various sources and may not have been verified by broker or MLS GRID. Supplied Open House Information is subject to change without notice. All information should be independently reviewed and verified for accuracy. Properties may or may not be listed by the office/agent presenting the information. Some IDX listings have been excluded from this website. Prices displayed on all Sold listings are the Last Known Listing Price and may not be the actual selling price.",SingleFamilyResidence,86-72 Musket St,Queens,11427,40.73138,-73.73532,"$2,800-$2,800",3 bd,1 ba,"1,000 sq ft",,+1-646-290-4951,['https://images1.apartments.com/i2/M8yrFAtP_VUfp2J9yCeVkJw-KL5zfuO7qIkKc0DQM3A/110/86-72-musket-st-queens-ny-primary-photo.jpg'],False
r77njl3,https://www.apartments.com/147-01-brookville-blvd-queens-ny-unit-1st-fl/r77njl3/,"147-01 Brookville Blvd Queens, NY 11422","Beautiful 2 Br apt on 1st floor of a multi family house. Nice kitchen,Living and Dining Combo with tiled floor. Tenant has separate meters for gas and electric. Tenant pay all utilities. Close to LIRR,Park,Shops and Buses to Jamaica.

Based on information submitted to the MLS GRID as of [see last changed date above]. All data is obtained from various sources and may not have been verified by broker or MLS GRID. Supplied Open House Information is subject to change without notice. All information should be independently reviewed and verified for accuracy. Properties may or may not be listed by the office/agent presenting the information. Some IDX listings have been excluded from this website. Prices displayed on all Sold listings are the Last Known Listing Price and may not be the actual selling price.",ApartmentComplex,147-01 Brookville Blvd,Queens,11422,40.65724,-73.74472,"$2,500-$2,500",2 bd,1 ba,,,+1-718-291-7000,['https://images1.apartments.com/i2/Z7wCpgOO8uH3SHMg0gaB9kLtPhaFeibXXeFpeAKU16U/110/147-01-brookville-blvd-unit-1st-fl-queens-ny-primary-photo.jpg'],False
rdhgcq2,https://www.apartments.com/87-30-commonwealth-blvd-queens-ny/rdhgcq2/,"87-30 Commonwealth Blvd Queens, NY 11426","Beautiful 3 Bedroom Rental at Bellerose 2nd Floor  with 2 Full bath . Master Bedroom attached with Full Bath. School Dist # 26 . Convenient to all.

Based on information submitted to the MLS GRID as of [see last changed date above]. All data is obtained from various sources and may not have been verified by broker or MLS GRID. Supplied Open House Information is subject to change without notice. All information should be independently reviewed and verified for accuracy. Properties may or may not be listed by the office/agent presenting the information. Some IDX listings have been excluded from this website. Prices displayed on all Sold listings are the Last Known Listing Price and may not be the actual selling price.",ApartmentComplex,87-30 Commonwealth Blvd,Queens,11426,40.72945,-73.71976,"$2,800-$2,800",3 bd,2 ba,,,+1-917-589-8391,['https://images1.apartments.com/i2/0QwnkZ8GTg08OiG-9r3kKPwQiFopJjo8sptHQ4TOfcc/110/87-30-commonwealth-blvd-queens-ny-primary-photo.jpg'],False
